word,category,meanHappiness,meanAnger,meanSadness,meanFear,meanDisgust
czarować,U,3.4615386,1.6538461,1.5,1.9615384,1.7307693
usługiwać,U,1.6538461,3.3461537,2.6538463,1.6538461,2.8461537
ideowy,U,2.6923077,2.1538463,1.7307693,2.1923077,2.4615386
pracować,U,3.6923077,2,2.0384614,2.1923077,1.5384616
pić,U,4.5,1.9230769,2.0769231,1.8846154,1.7692307
minigolf,U,3.3461537,1.6153846,1.1923077,1.4230769,1.1538461
skreślać,U,1.2692307,3.2692308,2.9615386,3.4230769,2.2692308
klon,U,1.8846154,1.5769231,2.0384614,2.4615386,2.0769231
niewymuszony,U,3.6538463,1.4230769,1.7307693,1.3461539,1.2307693
skąpy,U,1.4230769,3.6153846,2.3461537,1.7692307,3.4615386
uderzenie,U,1.5769231,4.3076925,3.1538463,4.076923,2.9230769
skarb,U,5.576923,1.2692307,1.3461539,2.5,1.1153846
świętokradztwo,U,1.0384616,3.4230769,2.8461537,2.6923077,4.076923
wieczorny,U,3.8076923,1.5384616,2.0384614,2.5,1.3076923
udowodnić,U,3.6153846,2.5769231,1.5769231,2.3461537,1.4230769
rausz,U,2.2307692,2.2307692,2.1153846,2.4615386,2.1538463
zwyczaj,U,2.6153846,1.7692307,1.5769231,1.4615384,1.6538461
chomik,U,3.8846154,1.2692307,1.3846154,1.4615384,1.9230769
odmowa,U,1.2307693,4.423077,4.1538463,3.6923077,2.5384614
zmurszały,U,1.2307693,1.7307693,2.5384614,2.0384614,2.8076923
hala,U,2.7692308,1.1923077,1.3076923,2.0769231,1.4615384
muszla,U,3.5,1.2692307,1.7692307,1.4615384,1.2692307
regularny,U,3.1153846,1.5,1.6538461,1.8846154,1.3846154
patelnia,U,2.8846154,1.8846154,1.3076923,1.4615384,1.2692307
rozumieć,U,4.8846154,1.6153846,1.6153846,1.6153846,1.2307693
zazdrość,U,1.1153846,5.0384617,4.423077,3.9230769,3.5384614
taryfa,U,2.3076923,1.9615384,1.5769231,1.9615384,1.7692307
rabat,U,4.6153846,1.4615384,1.2692307,1.5,1.5769231
granat,U,1.6923077,3.0384614,2.6538463,4.3076925,2.6153846
gwiazda,U,4.6923075,1.5384616,1.6153846,1.6153846,1.2692307
uniżony,U,1.7307693,2.6923077,2.7307692,1.8846154,2.4230769
wysoki,U,3.8846154,1.7307693,1.7692307,1.9615384,1.1923077
czarodziej,U,4.3333335,1.1481482,1.2962962,1.8518518,1.2592592
tempo,U,3.4074075,1.925926,1.2962962,2.3333333,1.1851852
nieufność,U,1.2222222,3.4814816,3.4444444,4.4444447,2.6666667
niezamężny,U,2.3703704,1.7407408,2.2962964,2.1851852,1.2962962
statek,U,3.7037036,1.3333334,1.3703704,2.8148148,1.1111112
towarzysz,U,5.259259,1.5185186,1.2222222,1.962963,1.2962962
