word,meanAnger
żeglow,1.4444444
murzynk,1.6666666
przewodnik,1.5925926
mistrz,1.5555556
poroż,1.8148148
chichot,1.962963
sprawdzon,1.4444444
sałatk,1.5185186
pomocn,1.2962962
bitw,3.5925925
nastroj,1.4074074
błagaln,2.6666667
wykształcon,1.7777778
klinik,1.962963
baw,1.7037038
przekon,1.8148148
pojętn,1.5925926
usuw,2.851852
urlop,1.3703704
atom,2.4444444
odetchnąć,1.8148148
szuj,4.703704
wół,1.5555556
toster,1.2962962
mglist,2
obniż,2.6666667
zły,4.5925927
czuć,2.1111112
oczekiw,2.4074075
krewn,2.5555556
szminkow,1.5925926
odwiedz,1.6296296
odejś,3.6666667
wzrost,1.3076923
korowód,1.7692307
napad,4
biżuter,1.5384616
świadectwo,1.5
kompas,1.3461539
począt,1.5384616
tchórzliw,3.7692308
wspólno,1.5769231
rekrut,1.5769231
zamężn,1.5769231
kolor,1.2307693
przymus,4.6538463
bierk,1.8076923
zaprosz,1.3461539
kul,2
udaremn,2.4615386
cenn,1.1923077
celebrow,1.5
udaw,3.3846154
wiek,1.9230769
zabójc,3.8461537
ocho,1.2692307
makabr,2.6538463
oszczędn,2.0769231
wraż,1.6923077
interesując,1.5
wnioskow,1.4230769
wielbiciel,1.8846154
portal,1.5769231
tolerancyjn,1.8846154
szkodliw,3.0384614
tendencyjn,2.9615386
dygot,2.4615386
flirt,2.0384614
kas,1.2307693
bież,1.8461539
skrzyp,1.6923077
zachłann,3.6923077
pla,1.4230769
bić,4.6538463
fal,1.6153846
stosun,1.5
podnos,1.6153846
lit,2.3461537
sytuowan,2.0769231
hord,2.7692308
wiolonczel,1.4615384
świec,1.5769231
pozbaw,4
upad,3.5384614
źródło,1.2692307
pan,1.7692307
narod,1.9615384
mefisto,2.1923077
dekadenck,2.2307692
apetyt,1.7692307
syt,1.7692307
ścin,2.9615386
nadziej,1.6923077
wchodz,1.3846154
pyt,1.8846154
podróż,1.5
zawartość,1.5384616
sprzedaw,1.7692307
probl,3.0384614
łódź,1.1538461
spożyw,1.4615384
wrzaw,2.8846154
szatan,2.9230769
koncert,1.4230769
wypowiedz,3.7692308
pokrzep,1.4230769
pożycz,2.3461537
ludzk,1.4615384
obejmow,1.2692307
lśn,1.3076923
błazen,2.5
zach,1.5769231
haniebn,3.6538463
zmarszczk,2.8076923
ład,1.3461539
uczestniczyć,1.4615384
blondynk,1.5769231
śpiew,1.5384616
bezcel,3.7307692
kurort,1.3076923
wyjątk,1.5384616
codzienn,1.6923077
motłoch,4.1153846
wampir,1.7692307
przyjezdn,1.7307693
niezdr,2.9615386
styl,1.5769231
mniej,1.9615384
dziewic,1.6153846
pożyw,1.3076923
edukow,1.4615384
wywóz,1.9615384
uprzywilejowan,2.4230769
kusząc,1.5
opium,1.8461539
podeszw,1.6153846
troskliw,1.6538461
nieskaziteln,1.5
pobyt,1.2307693
sabotow,3.8846154
niewdzi,4.576923
plant,1.3076923
pasiek,1.1153846
zorz,1.1153846
los,1.9615384
daremn,4
łg,4.576923
owc,1.2307693
twierdz,1.1923077
romans,2.6538463
lód,1.6153846
mas,2.1153846
groz,4.6538463
kot,1.6538461
noc,1.3461539
zapomin,3.9615386
stado,1.4615384
urodzin,1.5769231
chwast,2.8461537
wilko,2.1923077
traw,1.2307693
skutkow,1.7692307
piwo,1.3076923
zagazow,4.1538463
ambic,2
upraw,1.2692307
aktywność,1.4230769
wrażliw,1.4615384
prowadz,1.5384616
czarn,1.8846154
dziel,1.8076923
torfowisko,1.6153846
umier,3.2692308
plotkarsk,4.1153846
budow,1.3076923
trend,2.6153846
eufor,1.3461539
córk,1.3846154
znalezisko,1.3076923
wypad,2.9615386
powst,2.1923077
nawiązyw,1.2692307
światło,1.4615384
rozkład,1.6538461
zdenerwowan,3.9230769
spasow,2.8076923
bukiet,1.4615384
szm,4.3846154
czarow,1.6538461
usługiw,3.3461537
ide,2.1538463
pracow,2
pić,1.9230769
minigolf,1.6153846
skreśl,3.2692308
klon,1.5769231
niewymuszon,1.4230769
skąp,3.6153846
uderz,4.3076925
skarb,1.2692307
świętokradztwo,3.4230769
wieczorn,1.5384616
udowodn,2.5769231
rausz,2.2307692
zwycz,1.7692307
chomik,1.2692307
odm,4.423077
zmurszał,1.7307693
hal,1.1923077
muszl,1.2692307
regularn,1.5
patel,1.8846154
rozum,1.6153846
zazdrość,5.0384617
taryf,1.9615384
rabat,1.4615384
granat,3.0384614
gwiazd,1.5384616
uniżon,2.6923077
wysok,1.7307693
czarodz,1.1481482
tempo,1.925926
nieufność,3.4814816
niezamężn,1.7407408
stat,1.3333334
towarzysz,1.5185186
monstrum,2.3333333
wznos,1.3703704
rozum,1.7407408
ustal,1.7777778
przeciwnik,4.0740743
lustrow,3.074074
subteln,1.1481482
globus,1.1481482
przestępstwo,4.851852
pomij,3.2962964
mask,2.4444444
brak,4.111111
szczyt,1.5185186
niemowl,1.5925926
wynos,2.5185184
bied,4.6296296
harf,1.1481482
deficyt,3.2592592
sweter,1.2962962
hodowl,1.6296296
opiek,1.6666666
nieskończon,2.148148
ścian,2.1111112
przykład,1.3703704
makler,2.1111112
rozwód,4.7777777
wskazówk,1.6666666
warg,1.4814814
kapitan,1.5925926
pułapk,4
odległość,2.6666667
zamaw,1.3333334
witamin,1.1851852
maszkar,2.4074075
naraż,3.925926
kp,5.148148
wiertło,2.6666667
gramofon,1.2592592
delikatn,1.1111112
wstyd,3.8148148
jąk,2.8888888
opalon,1.2592592
oddz,2.074074
jazd,1.3333334
potworn,3.1851852
działacz,2.1111112
pow,1.5925926
obowiązk,2.7407408
lekarz,2.925926
chłop,1.8148148
bestialsk,5.4444447
potwierdz,1.3333334
kalkulow,2.1851852
wypad,3.851852
szal,1.8148148
zabezpiecz,1.2962962
przewrót,2.5555556
doznaw,1.6666666
pochopn,2.9629629
isl,3.074074
skacowan,3.4074075
rozpad,3.6296296
deb,2.9629629
psychoz,2.7037036
ofer,1.3333334
mów,1.8888888
rosjanin,2
peł,1.2222222
anegdo,1.3333334
płac,3
pras,2.7407408
mózg,1.4444444
obrabow,4.9259257
pup,1.2962962
pazern,5
lotnisko,1.2592592
szczur,2.6296296
popołudn,1.2222222
karier,2.2592592
czołg,2.7407408
zjeżdżal,1.1851852
upoważn,1.4074074
mięso,1.4814814
front,2.7037036
stoick,1.4814814
hasło,2
azyl,1.4444444
fataln,4.296296
wystarcz,1.4814814
suchar,1.4814814
wykonyw,1.8518518
loter,2.148148
socjalist,3.2962964
jęcz,2.925926
śmierć,3.8148148
podpier,1.6666666
podstęp,4.888889
kształc,1.5555556
mieszk,1.5185186
śmierdząc,4.296296
wiz,1.7037038
wyrzut,3.2592592
zegar,2.148148
aromat,1.1111112
instynktown,1.4444444
nekrolog,2.7777777
porażk,5.296296
hazard,3.8148148
łazienk,1.1111112
zrzesz,1.6666666
teleskop,1.2592592
sztywn,2.5555556
przynos,1.5555556
trud,3.2962964
rund,1.3703704
podjad,2.5925925
świadk,1.1851852
niewierność,5.4074073
fiołk,1.074074
wgląd,1.962963
maczug,2.1851852
przeż,1.7777778
panow,2.3333333
powrót,1.6296296
reprezentow,1.4444444
stek,1.2222222
prac,2.6666667
prostytutk,2.3333333
akadem,1.2592592
pożąd,1.7777778
efekt,1.2222222
łajd,4.814815
rubin,1.1851852
ss,1.4814814
separ,3.6666667
małomówn,2.7037036
ekstaz,1.6666666
firm,1.4444444
czyn,1.7037038
