word,meanAnger
znaczek,1.3461539
zakres,1.9615384
winda,1.3076923
tkacz,1.1538461
proponować,1.2692307
stawiać,1.2692307
precyzować,1.5384616
produkcyjny,1.4230769
postępować,1.6538461
sytuacja,1.4230769
dywan,1.1538461
cienisty,1.3076923
mimoza,1.7692307
makowy,1.1153846
bumerang,1.3461539
torba,1.2692307
gęś,1.0769231
notować,2.0384614
afekt,2.0384614
gąbka,1.0384616
kogut,1.3461539
szpara,1.5
odbitka,1.2307693
ilość,1.3846154
kość,1.3846154
pędzel,1.2692307
marka,1.5384616
siadać,1.0769231
obserwować,1.3461539
udzielać,1.7307693
szal,1.1538461
wytwarzać,1.2307693
amatorski,1.8461539
rodzaj,1.5
zebra,1.1923077
worek,1.3076923
szpulka,1.1538461
grabie,1.2692307
żółtko,1.1538461
grzebień,1.6538461
ręka,1.0384616
lokalizacja,1.1538461
obszar,1.4615384
metalowy,1.7692307
elementarz,1.4615384
przybudówka,1.7307693
silnikowy,1.4230769
girlanda,1.3461539
republikański,1.5
dziedzina,1.5
fasada,1.4230769
kalarepa,1.3461539
strona,1.8846154
określać,1.8846154
lupa,1.2962962
pasek,1.8888888
porto,1.5925926
rampa,1.1481482
szczotkować,1.5185186
linia,1.1481482
minimalny,1.7407408
adiutant,1.4814814
kiosk,1.5555556
sitko,1.5925926
pęseta,1.3703704
sień,1.2962962
suszyć,1.7777778
komoda,1.5185186
twierdzić,1.8518518
dynia,1.4814814
zaopatrywać,1.5185186
szczudło,1.4814814
but,1.3703704
pięta,1.5185186
cebulowy,1.6666666
odczyt,1.4814814
gumowy,1.4444444
groch,1.7037038
lada,1.5185186
sztućce,1.2592592
widelec,1.4444444
stereo,1.3333334
bodziec,2.1851852
rachunek,3
tropiki,1.7037038
łączyć,1.6666666
biskup,2.8888888
bogaty,2.3703704
mysz,1.8518518
szczęka,1.6666666
ociekać,1.925926
nabytek,1.6666666
matowy,1.4444444
przebywać,1.7037038
gorączka,3.4444444
tolerancja,2.2222223
ludzie,2.7407408
